City,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Country,Humidity,Date
Vaini,-21.2,-175.2,77.16,40,10.36,TO,78,1658705090
Mackay,-21.15,149.2,68.68,24,7.85,AU,86,1658705091
Sabang,5.8933,95.3214,80.6,100,6.24,ID,77,1658705070
Cape Town,-33.9258,18.4232,57.38,0,11.99,ZA,77,1658704802
Mar del Plata,-38.0023,-57.5575,52.09,100,9.22,AR,98,1658705091
Bambous Virieux,-20.3428,57.7575,61.05,40,6.91,MU,88,1658705091
Olafsvik,64.8945,-23.7142,52.77,98,5.79,IS,80,1658705092
Pevek,69.7008,170.3133,35.28,42,3.11,RU,90,1658705092
Rikitea,-23.1203,-134.9692,75.52,73,15.73,PF,80,1658705092
Punta Arenas,-53.15,-70.9167,37.51,40,14.97,CL,75,1658704939
Yellowknife,62.456,-114.3525,61.32,75,4.61,CA,94,1658705093
Esperance,-33.8667,121.9,47.88,47,12.39,AU,71,1658705093
Castro,-24.7911,-50.0119,60.04,99,2.8,BR,72,1658705093
Seymchan,62.8833,152.4333,62.74,69,3.06,RU,56,1658705094
Longyearbyen,78.2186,15.6401,46.24,75,9.22,SJ,87,1658705069
Bluff,-46.6,168.3333,38.8,72,9.22,NZ,80,1658705094
Lompoc,34.6391,-120.4579,85.01,0,11.99,US,69,1658705094
Tiksi,71.6872,128.8694,48.34,2,2.26,RU,74,1658705095
Atuona,-9.8,-139.0333,76.66,52,16.28,PF,66,1658705095
Sargatskoye,55.6101,73.4972,55.2,34,6.26,RU,89,1658705095
Arraial do Cabo,-22.9661,-42.0278,71.69,19,21.88,BR,86,1658704866
Marzuq,14.4,46.4667,79.86,59,4.85,YE,56,1658705095
Hong Kong,22.2855,114.1577,88.97,7,4.0,HK,82,1658705027
Carnarvon,-24.8667,113.6333,55.89,0,15.75,AU,53,1658705096
Avarua,-21.2078,-159.775,71.65,75,9.22,CK,68,1658705096
Araguaína,-7.1911,-48.2072,80.04,67,3.62,BR,33,1658705096
Albany,42.6001,-73.9662,89.78,66,9.57,US,63,1658705050
Verkhnevilyuysk,63.4453,120.3167,68.56,29,8.37,RU,67,1658705097
Upernavik,72.7868,-56.1549,41.61,100,6.73,GL,95,1658705097
Aasiaat,68.7098,-52.8699,37.26,99,6.67,GL,97,1658705097
Quatre Cocos,-20.2078,57.7625,60.91,6,7.74,MU,77,1658705098
Kaeo,-35.1,173.7833,62.33,100,19.48,NZ,97,1658705098
Jamundí,3.2607,-76.535,76.96,82,3.71,CO,89,1658705098
Butaritari,3.0707,172.7902,82.4,2,18.86,KI,73,1658705099
Khatanga,71.9667,102.5,62.42,98,9.66,RU,80,1658705002
Ushuaia,-54.8,-68.3,35.26,75,8.05,AR,69,1658705099
Deputatsky,69.3,139.9,61.7,56,4.29,RU,55,1658705099
Hilo,19.7297,-155.09,86.29,40,11.5,US,73,1658705037
Jamestown,42.097,-79.2353,76.71,75,21.85,US,88,1658705001
Ponta do Sol,32.6667,-17.1,84.13,0,2.17,PT,39,1658705100
Tuktoyaktuk,69.4541,-133.0374,48.2,75,10.36,CA,81,1658705100
Babu,24.4167,111.5167,80.8,0,1.48,CN,81,1658705101
Fortuna,40.5982,-124.1573,60.98,18,8.14,US,73,1658705101
Chicama,-7.8447,-79.1469,59.54,23,7.34,PE,75,1658705095
Ludvika,60.1496,15.1878,60.78,62,5.23,SE,87,1658705101
Saskylakh,71.9167,114.0833,67.71,55,10.67,RU,63,1658705102
New Norfolk,-42.7826,147.0587,46.92,81,2.04,AU,90,1658705102
Saint-Philippe,-21.3585,55.7679,64.22,44,9.22,RE,80,1658705050
Avera,33.194,-82.5271,87.39,42,5.66,US,69,1658705102
Port Blair,11.6667,92.75,80.76,81,2.75,IN,82,1658705103
Hithadhoo,-0.6,73.0833,81.82,100,6.67,MV,73,1658705015
Hokitika,-42.7167,170.9667,49.95,100,6.55,NZ,56,1658705103
Whakatane,-37.9585,176.9854,54.77,100,15.52,NZ,74,1658705103
Karratha,-20.7377,116.8463,62.71,0,18.61,AU,42,1658705104
Barrow,71.2906,-156.7887,44.62,100,9.22,US,81,1658705104
Puerto Ayora,-0.7393,-90.3518,70.56,79,7.0,EC,90,1658705104
Bollnäs,61.3482,16.3946,59.61,89,4.47,SE,77,1658705105
Faanui,-16.4833,-151.75,77.72,3,12.12,PF,78,1658705105
Changzhou,31.7833,119.9667,81.27,2,7.52,CN,80,1658705105
Saint-Pierre,-21.3393,55.4781,65.91,0,4.61,RE,68,1658705106
Saint-Augustin,51.226,-58.6502,69.96,90,7.0,CA,70,1658705106
Bredasdorp,-34.5322,20.0403,47.98,0,6.15,ZA,88,1658705106
Nanortalik,60.1432,-45.2371,48.25,92,5.41,GL,81,1658705106
Temerloh,3.4483,102.4176,73.11,99,0.27,MY,98,1658705107
Narsaq,60.9167,-46.05,55.62,85,5.14,GL,65,1658705107
Northam,51.0333,-4.2167,64.38,100,19.26,GB,95,1658705107
Evensk,61.95,159.2333,60.53,76,4.12,RU,53,1658705108
Mataura,-46.1927,168.8643,38.48,21,2.68,NZ,82,1658705108
Broken Hill,-31.95,141.4333,57.72,68,8.59,AU,49,1658705108
Oktyabr'skoye,43.0645,44.7417,60.94,96,4.47,RU,93,1658705109
Ajdabiya,30.7554,20.2263,80.65,0,11.03,LY,39,1658705109
Hobart,-42.8794,147.3294,47.26,40,4.61,AU,96,1658704918
Polazna,58.2946,56.4055,67.39,84,4.68,RU,90,1658705109
Qaanaaq,77.484,-69.3632,40.23,100,0.27,GL,92,1658705110
Yamoussoukro,6.8206,-5.2767,73.29,0,4.61,CI,88,1658705110
Hot Springs,34.5037,-93.0552,99.0,75,11.5,US,36,1658705024
Sovetskiy,61.3614,63.5842,56.03,89,3.67,RU,93,1658705110
Port Alfred,-33.5906,26.891,58.93,94,6.55,ZA,60,1658705008
Māngrol,21.1167,70.1167,80.78,93,18.61,IN,84,1658705111
Bodden Town,19.2833,-81.25,87.01,20,10.36,KY,69,1658705111
Lüderitz,-26.6481,15.1594,66.65,1,6.87,NA,48,1658705111
San Patricio,28.017,-97.5169,93.92,0,18.28,US,49,1658705112
Paysandu,-32.3214,-58.0756,71.6,30,7.34,UY,92,1658705112
Khovd,48.0056,91.6419,59.47,0,7.43,MN,36,1658705112
Cherskiy,68.75,161.3,59.77,94,9.42,RU,41,1658705032
Hermanus,-34.4187,19.2345,51.8,0,10.74,ZA,86,1658705113
Abadan,38.0507,58.2056,85.73,0,16.11,TM,42,1658705113
Mazyr,52.0495,29.2456,58.37,1,8.86,BY,97,1658705113
Bengkulu,-3.8004,102.2655,75.09,100,4.61,ID,90,1658705114
Mīnāb,27.1467,57.0801,88.12,93,2.3,IR,74,1658705114
Clyde River,70.4692,-68.5914,41.23,100,16.11,CA,100,1658705114
Rumford,44.5537,-70.5509,86.83,99,3.65,US,85,1658705115
Bhīmunipatnam,17.8833,83.4333,76.51,100,3.94,IN,82,1658705115
Hualmay,-11.0964,-77.6139,63.7,9,12.21,PE,79,1658705045
Nizwá,22.9333,57.5333,86.99,99,2.66,OM,53,1658705115
Seaford,50.7714,0.1027,67.37,100,12.57,GB,87,1658705116
Gabi,7.6215,126.092,77.65,83,1.54,PH,90,1658705116
Līsakovsk,52.5369,62.4936,67.69,23,4.76,KZ,52,1658705116
Busselton,-33.65,115.3333,57.45,80,14.97,AU,68,1658705117
Sovetskaya Gavan',48.9723,140.2878,69.22,16,3.2,RU,79,1658705117
Bandarbeyla,9.4942,50.8122,77.31,99,26.6,SO,76,1658705117
Kostino,58.9097,53.2691,61.92,2,4.07,RU,94,1658705118
Sfântu Gheorghe,45.8667,25.7833,68.94,77,1.9,RO,89,1658705043
George Town,5.4112,100.3354,78.73,20,3.44,MY,95,1658705021
Bilibino,68.0546,166.4372,55.31,11,9.73,RU,51,1658705118
Along,28.1667,94.7667,71.98,34,0.58,IN,98,1658705118
Kismayo,-0.3582,42.5454,74.88,82,18.39,SO,81,1658705119
Fairbanks,64.8378,-147.7164,72.09,0,5.75,US,38,1658705119
Sørland,67.667,12.6934,51.66,100,18.75,NO,82,1658705119
Torbay,47.6666,-52.7314,75.97,40,12.66,CA,69,1658705120
Beşikdüzü,41.052,39.2284,69.69,1,6.78,TR,67,1658705120
Kavieng,-2.5744,150.7967,84.4,37,12.97,PG,72,1658705120
Ostrovnoy,68.0531,39.5131,50.07,97,12.26,RU,91,1658705120
Hamilton,39.1834,-84.5333,88.65,0,13.8,US,65,1658704994
Deming,32.2687,-107.7586,91.29,20,12.66,US,25,1658705121
Beringovskiy,63.05,179.3167,44.73,100,11.86,RU,78,1658705121
Verkhoyansk,67.5447,133.385,67.6,78,1.74,RU,66,1658705121
Maracaju,-21.6144,-55.1683,77.13,68,3.6,BR,32,1658705122
Saint-Paul-lès-Dax,43.7272,-1.0516,73.92,100,7.0,FR,81,1658705122
Hervey Bay,-25.2986,152.8535,63.48,1,9.31,AU,73,1658705122
Cruzeiro do Sul,-29.5128,-51.9853,72.52,100,1.36,BR,89,1658705123
Murchison,-41.8,172.3333,44.92,100,2.8,NZ,84,1658705123
Pisco,-13.7,-76.2167,62.65,0,11.5,PE,82,1658705088
Port Elizabeth,-33.918,25.5701,54.1,0,5.75,ZA,93,1658705123
Souillac,-20.5167,57.5167,61.18,40,6.91,MU,88,1658705031
Vao,-22.6667,167.4833,72.05,94,12.06,NC,74,1658705124
Guerrero Negro,27.9769,-114.0611,77.86,35,15.03,MX,58,1658705063
Ixtapa,20.7,-105.2,80.22,100,5.75,MX,89,1658705124
Klaksvík,62.2266,-6.589,50.92,100,23.55,FO,95,1658705125
Tonaya,19.7833,-103.9667,87.55,28,4.76,MX,44,1658705125
Xuchang,34.0167,113.8167,76.41,3,7.11,CN,77,1658705125
Hātod,22.8,75.7333,72.91,100,12.48,IN,94,1658705125
Naze,28.3667,129.4833,83.32,5,1.95,JP,79,1658705126
Mahébourg,-20.4081,57.7,61.09,40,6.91,MU,88,1658705126
Gizo Government Station,-8.103,156.8419,83.3,45,6.6,SB,73,1658705126
Rincon,32.296,-81.2354,83.86,75,11.5,US,78,1658705127
Salalah,17.0151,54.0924,77.09,75,5.75,OM,88,1658705127
Lebu,-37.6167,-73.65,51.84,100,9.55,CL,95,1658705127
Tromsø,69.6496,18.957,49.37,100,10.36,NO,81,1658705128
Soyo,-6.1349,12.3689,69.94,33,5.84,AO,92,1658705128
Klamath Falls,42.2249,-121.7817,94.96,0,9.22,US,13,1658705128
Atar,20.5169,-13.0499,96.8,27,4.61,MR,33,1658705129
Port-Gentil,-0.7193,8.7815,73.36,40,8.05,GA,83,1658705129
Roald,62.5833,6.1333,65.32,20,8.05,NO,82,1658705129
Porbandar,21.6422,69.6093,80.83,96,20.62,IN,85,1658705129
Pangnirtung,66.1451,-65.7125,53.02,46,3.06,CA,68,1658705130
Nikolskoye,59.7035,30.7861,64.29,78,3.91,RU,98,1658705130
Tautira,-17.7333,-149.15,78.13,4,13.73,PF,79,1658705130
Banjar,-8.19,114.9675,68.76,43,5.79,ID,83,1658705131
Azuaga,38.2667,-5.6833,84.96,20,6.73,ES,22,1658705131
Koutsouras,35.0339,25.9469,80.04,0,15.37,GR,53,1658705131
Mossamedes,-15.1961,12.1522,63.45,62,5.84,AO,87,1658705131
Oriximiná,-1.7656,-55.8661,81.73,59,2.62,BR,62,1658705132
Coyhaique,-45.5752,-72.0662,33.75,100,3.44,CL,80,1658705122
Gusau,12.1628,6.6614,78.21,70,8.16,NG,75,1658705132
Vestmannaeyjar,63.4427,-20.2734,52.2,97,13.91,IS,87,1658705132
Kahului,20.8947,-156.47,89.62,20,24.16,US,40,1658705133
Roncesvalles,4.0108,-75.6049,56.32,96,0.83,CO,91,1658705133
Bethel,41.3712,-73.414,92.25,0,10.36,US,60,1658704900
Kapaa,22.0752,-159.319,85.98,20,13.8,US,71,1658705133
San Rafael del Sur,11.8485,-86.4384,86.97,68,11.23,NI,66,1658705134
Swellendam,-34.0226,20.4417,48.07,0,4.94,ZA,77,1658705134
Provideniya,64.3833,-173.3,46.51,100,4.47,RU,76,1658705134
Chokurdakh,70.6333,147.9167,66.04,90,10.65,RU,39,1658705135
Hofn,64.2539,-15.2082,51.44,35,4.59,IS,87,1658705135
Songjianghe,42.1859,127.479,64.53,54,5.37,CN,95,1658705135
Aktash,50.3,87.7333,38.01,48,1.63,RU,90,1658705135
Faya,18.3851,42.4509,64.92,82,7.4,SA,62,1658705136
Carpinteria,34.3989,-119.5185,89.69,15,9.01,US,55,1658704911
Cockburn Town,21.4612,-71.1419,80.56,40,12.66,TC,74,1658704885
Mehamn,71.0357,27.8492,49.91,71,6.93,NO,88,1658705136
Gravdal,68.1214,13.5031,52.52,75,13.94,NO,80,1658705136
Bonavista,48.6499,-53.1147,64.11,86,10.71,CA,92,1658705137
Airai,-8.9266,125.4092,57.13,56,2.46,TL,55,1658705057
Iguaí,-14.7564,-40.0892,62.94,69,2.8,BR,87,1658705137
Santa Rosa,14.3122,121.1114,87.1,90,4.45,PH,80,1658705121
Voyvozh,62.892,54.9635,48.47,83,3.78,RU,92,1658705137
Zhuanghe,39.7008,122.9911,77.2,1,4.9,CN,84,1658705138
East London,-33.0153,27.9116,59.13,74,7.67,ZA,62,1658705138
Tucuruí,-3.7661,-49.6725,79.99,44,3.15,BR,52,1658705138
Namatanai,-3.6667,152.4333,82.9,18,5.84,PG,74,1658705139
Traralgon,-38.1833,146.5333,51.67,82,2.24,AU,70,1658704933
Raymond,43.9015,-70.4703,90.52,89,8.72,US,51,1658705139
Lethem,3.3803,-59.7968,76.14,100,3.49,GY,89,1658705139
Gillette,44.2911,-105.5022,77.92,0,9.22,US,73,1658705011
Sitka,57.0531,-135.33,57.09,100,14.97,US,94,1658705140
Los Llanos de Aridane,28.6585,-17.9182,73.15,0,8.05,ES,73,1658705140
Santiago del Estero,-27.7951,-64.2615,74.93,3,6.6,AR,57,1658704986
Razdol'noye,43.55,131.9167,66.61,100,4.52,RU,99,1658705140
Hohhot,40.8106,111.6522,66.49,0,4.47,CN,63,1658705008
Wanning,18.8003,110.3967,79.18,30,3.62,CN,83,1658705141
Kalangala,-0.3089,32.225,73.08,59,3.71,UG,64,1658705141
Alice Springs,-23.7,133.8833,56.75,0,5.75,AU,62,1658705141
Isangel,-19.55,169.2667,84.31,75,2.3,VU,79,1658705142
El Cobre,20.0489,-75.9469,83.64,40,6.91,CU,74,1658705142
Mantenópolis,-18.8625,-41.1228,65.43,4,7.76,BR,80,1658705142
Samagaltay,50.6022,95.0047,56.25,64,6.6,RU,65,1658705142
Necochea,-38.5473,-58.7368,47.66,100,7.63,AR,91,1658705143
Jackson,42.4165,-122.8345,102.02,0,9.22,US,20,1658705143
Thompson,55.7435,-97.8558,71.76,75,6.91,CA,37,1658704884
Örnsköldsvik,63.2909,18.7153,52.75,40,1.14,SE,100,1658705144
Vanimo,-2.6741,141.3028,81.73,26,5.06,PG,78,1658705144
Yulara,-25.2406,130.9889,51.26,0,14.27,AU,67,1658705145
Rawson,-43.3002,-65.1023,42.93,100,10.51,AR,72,1658704850
Tasiilaq,65.6145,-37.6368,44.76,28,4.85,GL,81,1658705145
Albina,5.5,-54.05,74.23,99,3.11,SR,97,1658705146
Jonesboro,35.8423,-90.7043,96.57,0,15.01,US,41,1658705146
Flin Flon,54.7682,-101.865,71.44,40,6.91,CA,43,1658705146
Shaowu,27.3409,117.4831,81.66,2,1.39,CN,75,1658705147
Ust'-Kulom,61.6864,53.6902,55.98,86,4.16,RU,99,1658705147
Talara,-4.5772,-81.2719,64.04,22,17.49,PE,92,1658705147
Te Anau,-45.4167,167.7167,41.92,97,0.83,NZ,83,1658705148
Esso,55.9333,158.7,59.38,100,5.57,RU,74,1658705148
Channel-Port aux Basques,47.5702,-59.1367,66.43,99,2.55,CA,87,1658705149
Ko Samui,9.5357,99.9357,83.59,19,7.02,TH,72,1658705149
Fairhope,30.523,-87.9033,84.7,40,3.44,US,88,1658705150
Menongue,-14.6585,17.691,56.28,1,4.45,AO,43,1658704871
Iqaluit,63.7506,-68.5145,46.13,40,11.5,CA,93,1658705150
Andrews,32.3187,-102.5457,97.41,40,13.8,US,24,1658704910
Leningradskiy,69.3833,178.4167,34.93,100,3.56,RU,97,1658705023
Udachny,66.4167,112.4,65.95,100,10.83,RU,83,1658705151
Vardø,70.3705,31.1107,46.38,100,1.14,NO,87,1658705151
Sachīn,21.0833,72.8833,79.14,100,11.25,IN,87,1658705151
Maseru,-29.3167,27.4833,36.73,0,2.51,LS,59,1658705151
Cayenne,4.9333,-52.3333,83.08,0,4.61,GF,1,1658704886
Nueva Concepción,14.2,-91.3,81.54,96,5.26,GT,85,1658705152
Katobu,-4.9408,122.5276,73.13,51,2.73,ID,83,1658705152
Saint-François,46.4154,3.9054,69.24,0,3.44,FR,68,1658705152
Chui,-33.6971,-53.4616,57.29,57,5.19,UY,99,1658705153
Elizabeth City,36.2946,-76.2511,88.05,0,12.66,US,75,1658705103
Maniitsoq,65.4167,-52.9,45.81,69,13.15,GL,83,1658705153
Ancud,-41.8697,-73.8203,47.23,94,6.53,CL,94,1658705153
Cabo San Lucas,22.8909,-109.9124,92.61,20,5.75,MX,67,1658704972
Churāchāndpur,24.3333,93.6667,66.67,100,0.87,IN,99,1658705154
Saint George,37.1041,-113.5841,88.39,0,19.57,US,40,1658705154
Asău,46.4333,26.4,70.95,98,3.22,RO,97,1658705154
Wexford,52.3342,-6.4575,60.22,23,14.92,IE,91,1658705155
Kilindoni,-7.9139,39.6668,75.16,2,14.85,TZ,78,1658705155
Srinagar,34.0833,74.8167,68.5,98,0.43,IN,95,1658705155
Vágur,61.4732,-6.8119,49.86,100,25.57,FO,95,1658705156
Lagoa,39.05,-27.9833,73.33,0,10.33,PT,90,1658705156
Rongcheng,30.634,117.8517,82.33,2,2.44,CN,80,1658705156
Taoudenni,22.6783,-3.9836,94.75,52,12.48,ML,28,1658705157
Resistencia,-27.4606,-58.9839,79.11,0,8.05,AR,66,1658705102
Tonstad,58.6626,6.7169,59.65,100,4.07,NO,99,1658705157
Motygino,58.1831,94.7592,56.3,72,2.13,RU,95,1658705157
Verkhotur'ye,58.8627,60.8054,61.36,55,5.84,RU,89,1658705158
Blumenau,-26.9194,-49.0661,69.08,98,1.5,BR,93,1658705158
Christchurch,-43.5333,172.6333,44.42,100,3.44,NZ,93,1658704904
Korla,41.7597,86.1469,85.82,98,17.45,CN,25,1658705103
Seoul,37.5683,126.9778,79.99,20,5.75,KR,80,1658705126
Davila,18.4726,120.5763,82.38,9,3.13,PH,72,1658705158
Preobrazheniye,42.9019,133.9064,68.02,58,2.46,RU,84,1658705159
Shelbyville,35.4834,-86.4603,90.03,0,8.05,US,58,1658704747
Barie,44.5725,-0.1104,78.01,2,10.56,FR,61,1658705159
Zamora,-4.0692,-78.9567,72.64,65,1.12,EC,98,1658705159
Ilulissat,69.2167,-51.1,39.18,100,2.86,GL,92,1658705075
Kiama,-34.6833,150.8667,56.25,7,3.71,AU,90,1658705160
Dakar,14.6937,-17.4441,77.88,100,3.22,SN,78,1658705031
Rio Grande,-32.035,-52.0986,60.91,99,3.47,BR,99,1658705160
Hasaki,35.7333,140.8333,86.4,80,13.44,JP,83,1658705160
Pano Aqil,27.8569,69.1116,100.29,100,12.62,PK,77,1658705161
Dikson,73.5069,80.5464,48.0,100,15.57,RU,96,1658705161
Havøysund,70.9963,24.6622,50.23,61,3.31,NO,85,1658705161
Paamiut,61.994,-49.6678,45.68,15,0.45,GL,83,1658705162
Vila Velha,-20.3297,-40.2925,71.94,20,3.44,BR,82,1658705162
Kasane,-17.8167,25.15,59.92,24,3.69,BW,45,1658705162
Constitución,-35.3333,-72.4167,53.31,100,7.87,CL,94,1658705163
Tuatapere,-46.1333,167.6833,44.4,94,3.4,NZ,86,1658705163
Javānrūd,34.7961,46.5172,70.02,0,3.96,IR,21,1658705163
Motril,36.7507,-3.5179,92.26,17,2.37,ES,41,1658705163
Yar-Sale,66.8333,70.8333,48.34,65,11.32,RU,88,1658705134
Sangar,63.9242,127.4739,67.03,20,4.09,RU,66,1658705164
